           1   7.1031274757926317     
           2   11.282886459381153     
           3   14.361983603181082     
           4   16.893634875696506     
           5   19.091646060256032     
           6   21.052615061103840     
           7   22.849700384037025     
           8   24.508356216766305     
           9   26.064259607583118     
          10   27.541580014238143     
          11   28.936908667057669     
          12   30.280036427163747     
          13   31.556219450823658     
          14   32.775807254705832     
          15   33.951758853518356     
          16   35.102781002125639     
          17   36.206170650514196     
          18   37.281457752669397     
          19   38.332480759095091     
          20   39.347607905670614     
          21   40.335644748541398     
          22   41.298173786200792     
          23   42.243482350212261     
          24   43.174524890782806     
          25   44.089526677309898     
